"codigo";"nome";"descricao";"mnemonico";"tipo";"itemexame";"sr_recno"
83.0;PARASITOLÓGICO DE FEZES;EXAME PARASITOLÓGICO DE FEZES;EPFMIF;PARASITOLÓGICO;0;91
84.0;PCR;DETERMINAÇÃO QUANTITATIVA DE PCR;PCR;BIOQUÍMICA;0;92
85.0;PSA LIVRE;DETERMINAÇÃO QUANTITATIVA DE PSA LIVRE;PSAL;DOSAGEM HORMONAL;0;93
87.0;SDHEA;DETERMINAÇÃO QUANTITATIVA DE SDHEA;SDHEA;DOSAGEM HORMONAL;0;94
89.0;GLICEMIA DE JEJUM;DETERMINAÇÃO QUANTITATIVA DE GLICEMIA DE JEJUM;GLI;BIOQUÍMICA;0;95
90.0;LDH;DETERMINAÇÃO QUANTITATIVA DE LDH;LDH;BIOQUÍMICA;0;96
91.0;CLASSIFICAÇÃO SANGUÍNEA (ABO);CLASSIFICAÇÃO SANGUÍNEA - ABO;ABO;IMUNOHEMATOLÓGICO;0;97
92.0;CA 15.3;DETERMINAÇÃO QUANTITATIVA DE CA 15.3;CA153;BIOQUÍMICA;0;98
99.0;ANTI - TPO;PESQUISA DE ANTICORPOS ANTI - PEROXIDASE;TPO;IMUNOLÓGICO;0;99
100.0;CALCIÚRIA;DETERMINAÇÃO QUANTITATIVA DE CALCIÚRIA;CALCIURI;BIOQUÍMICA;0;100
101.0;CA 19.9;DETERMINAÇÃO QUANTITATIVA DE CA 19.9;CA19;BIOQUÍMICA;0;101
106.0;Teste Rápido Covid-19;TESTE RÁPIDO ANTÍGENO COVID-19;TRCV19;;0;102
107.0;CEA;CEA (ANTÍGENO CARCINOEMBRIOGÊNICO);CEA;BIOQUÍMICA;0;103
111.0;PRÓ-BNP;DETERMINAÇÃO QUANTITATIVA DE PRÓ-BNP - N-TERMINAL;BNP;BIOQUÍMICA;0;104
112.0;Procalcitonina;DETERMINAÇÃO QUANTITATIVA PROCALCITONINA;PROC;;0;105
114.0;PSA;DETERMINAÇÃO QUANTITATIVA DE PSA;PSAT;DOSAGEM HORMONAL;0;106
115.0;Glicemia de Jejum;Teste oral de tolerância à glicose;TOTG;BIOQUÍMICA;0;107
118.0;CA 125;DETERMINAÇÃO QUANTITATIVA DE CA 125;CA125;BIOQUÍMICA;0;108
122.0;Transferrina;DETERMINAÇÃO QUANTITATIVA DE TRANSFERRINA;TRF;BIOQUÍMICA;0;109
124.0;Triglicérides;DETERMINAÇÃO QUANTITATIVA DE TRIGLICÉRIDES;TRI;BIOQUÍMICA;0;110
125.0;COLESTEROL TOTAL E FRAÇÕES;DETERMINAÇÃO QUANTITATIVA DE COLESTEROL TOTAL E FRAÇÕES;COLTOTFRA;BIOQUÍMICA;0;111
125.0;COLESTEROL TOTAL;DETERMINAÇÃO QUANTITATIVA DE COLESTEROL TOTAL E FRAÇÕES;COLTOTFRATOT;-;1;112
125.0;COLESTEROL HDL;DETERMINAÇÃO QUANTITATIVA DE COLESTEROL TOTAL E FRAÇÕES;COLTOTFRAHDL;-;1;113
125.0;COLESTEROL LDL;DETERMINAÇÃO QUANTITATIVA DE COLESTEROL TOTAL E FRAÇÕES;COLTOTFRALDL;-;1;114
125.0;COLESTEROL VLD;DETERMINAÇÃO QUANTITATIVA DE COLESTEROL TOTAL E FRAÇÕES;COLTOTFRAVLDL;-;1;115
125.0;TRIGLICÉRIDES;DETERMINAÇÃO QUANTITATIVA DE COLESTEROL TOTAL E FRAÇÕES;COLTOTFRATRI;-;1;116
126.0;SUMÁRIO DE URINA;SUMÁRIO DE URINA;SUMURI;BIOQUÍMICA;0;117
127.0;HEMOGRAMA COMPLETO;HEMOGRAMA COMPLETO;HEMCOM;HEMATOLÓGICO;0;118
127.0;Hemácias;HEMOGRAMA COMPLETO;HEM;-;1;119
127.0;Hemoglobina;HEMOGRAMA COMPLETO;HEMO;-;1;120
127.0;Hematócrito;HEMOGRAMA COMPLETO;HEMA;-;1;121
127.0;V.C.M.;HEMOGRAMA COMPLETO;VCM;-;1;122
127.0;H.C.M.;HEMOGRAMA COMPLETO;HCM;-;1;123
127.0;C.H.C.M.;HEMOGRAMA COMPLETO;CHCM;-;1;124
127.0;RDW;HEMOGRAMA COMPLETO;RDW;-;1;125
127.0;Leucócitos totais;HEMOGRAMA COMPLETO;LEU;-;1;126
127.0;Neutrófilo total;HEMOGRAMA COMPLETO;NEU;-;1;127
127.0;Mielócitos;HEMOGRAMA COMPLETO;MIE;-;1;128
127.0;Metamielócitos;HEMOGRAMA COMPLETO;MET;-;1;129
127.0;Bastonetes;HEMOGRAMA COMPLETO;BAST;-;1;130
127.0;Segmentados;HEMOGRAMA COMPLETO;SEG;-;1;131
127.0;Eosinófilos;HEMOGRAMA COMPLETO;EOS;-;1;132
127.0;Basófilos;HEMOGRAMA COMPLETO;BAS;-;1;133
127.0;Linfócitos;HEMOGRAMA COMPLETO;LIN;-;1;134
127.0;Linfócitos Atípicos;HEMOGRAMA COMPLETO;LIFATIP;-;1;135
127.0;Monócitos;HEMOGRAMA COMPLETO;MON;-;1;136
127.0;Plaquetas;HEMOGRAMA COMPLETO;PLA;-;1;137
127.0;P.D.W.;HEMOGRAMA COMPLETO;PDW;-;1;138
127.0;V.P.M.;HEMOGRAMA COMPLETO;VPM;-;1;139
127.0;Absoluto Neutrófilo Total;HEMOGRAMA COMPLETO;ABSNEUTO;-;1;140
127.0;Absoluto Mielócitos;HEMOGRAMA COMPLETO;ABSMIE;-;1;141
127.0;Absoluto Metamielócitos;HEMOGRAMA COMPLETO;ABSMET;-;1;142
127.0;Absoluto Bastonetes;HEMOGRAMA COMPLETO;ABSBASTON;-;1;143
127.0;Absoluto Segmentados;HEMOGRAMA COMPLETO;ABSSEG;-;1;144
127.0;Absoluto Eosinófilos;HEMOGRAMA COMPLETO;ABSEOS;-;1;145
127.0;Absoluto Basófilos;HEMOGRAMA COMPLETO;ABSBAS;-;1;146
127.0;Absoluto Linfócitos;HEMOGRAMA COMPLETO;ABSLIN;-;1;147
127.0;Absoluto Linfócitos Atípicos;HEMOGRAMA COMPLETO;ABSLINFOCI;-;1;148
