code,complexity,sex_restriction,minimum_age_months,maximum_age_months,description
0604690029,I,I,216,1571,"SECUQUINUMABE 150 MG/ML SOLUÇÃO INJETÁVEL (POR SERINGA PREENCHIDA)"
0604690037,I,I,216,1571,"USTEQUINUMABE 45 MG/0,5ML SOLUÇÂO INJETÀVEL (POR SERINGA PREENCHIDA)"
0604690053,I,I,216,1571,"RISANQUIZUMABE 150 MG/ML CANETA APLICADORA COM 1 ML"
0604700016,I,I,0,1571,"CALCIPOTRIOL 50 MCG/G POMADA (POR BISNAGA DE 30 G)"
0604710011,I,I,0,1571,"CLOBETASOL 0,5 MG/G CREME (POR BISNAGA DE 30 G)"
0604710020,I,I,0,1571,"CLOBETASOL 0,5 MG/G SOLUÇÃO CAPILAR (POR FRASCO DE 50 G)"
0604710038,I,I,24,1571,"FUROATO DE MOMETASONA CREME OU POMADA DERMATOLÓGICA DE 1 MG/G"
0604720017,I,I,0,1571,"NAPROXENO 250 MG (POR COMPRIMIDO)"
0604720025,I,I,0,1571,"NAPROXENO 500 MG (POR COMPRIMIDO)"
0604730012,I,I,0,1571,"PILOCARPINA 20 MG/ML SOLUÇÃO OFTÁLMICA (POR FRASCO DE 10 ML)"
0604740018,I,I,0,1571,"TIMOLOL 5,0 MG/ML SOLUÇÃO OFTÁLMICA (POR FRASCO DE 5 ML)"
0604750013,I,I,216,1571,"AMBRISENTANA 5MG (POR COMPRIMIDO REVESTIDO)"
0604750021,I,I,216,1571,"AMBRISENTANA 10MG (POR COMPRIMIDO REVESTIDO)"
0604750030,I,I,0,1571,"BOSENTANA 62,5MG (POR COMPRIMIDO REVESTIDO)"
0604750048,I,I,0,1571,"BOSENTANA 125MG (POR COMRIMIDO REVESTIDO)"
0604770014,I,I,216,1571,"CINACALCETE 30 MG (POR COMPRIMIDO)"
0604770022,I,I,216,1571,"CINACALCETE 60 MG (POR COMPRIMIDO)"
0604770030,I,I,216,1571,"PARICALCITOL 5,0 MCG/ML SOLUÇÃO INJETÁVEL (AMPOLA COM 1 ML)"
0604780010,I,I,36,1571,"INSULINA ANÁLOGA DE AÇÃO RÁPIDA 100 UI/ML (TUBETES COM SISTEMAS DE APLICAÇÃO REUTILIZÁVEL)"
0604780036,I,I,12,47,"INSULINA ANÁLOGA DE AÇÃO RÁPIDA 100 UI/ML (1B)"
0604780044,I,I,12,1571,"INSULINA ANÁLOGA DE AÇÃO RÁPIDA 100 UI/ML (SISTEMA DE APLICAÇÃO DESCARTAVÉL)"
0604780052,I,I,24,1571,"INSULINA ANÁLOGA DE AÇÃO PROLONGADA DE 100 UI/ML"
0604780060,I,I,12,35,"INSULINA ANÁLOGA DE AÇÃO PROLONGADA 100 UI/ML (1B)"
0604790015,I,I,0,1571,"NUSINERSENA 2,4MG/ML SOLUÇÃO INJETÁVEL (POR FRASCO AMPOLA DE 5 ML)"
0604790023,I,I,0,1571,"RISDIPLAM 0,75 MG/ML PÓ PARA SOLUÇÂO ORAL (FRASCO 80 ML)"
0604800010,F,F,108,731,"ENOXAPARINA SÓDICA 40 MG/0,4 ML SOLUÇÃO INJETÁVEL (POR SERINGA PREENCHIDA)"
0604800029,I,I,108,731,"ENOXAPARINA SÓDICA 60 MG/0,6 ML SOLUÇÃO INJETÁVEL (POR SERINGA PREENCHIDA)"
0604810016,I,I,0,1571,"TOBRAMICINA 300MG/5 ML SOLUÇÃO INALATÓRIA (POR AMPOLA)"
0604820011,I,I,216,1571,"DAPAGLIFLOZINA 10 MG (POR COMPRIMIDO)"
0604830017,I,I,216,1571,"SACUBITRIL VALSARTANA SÓDICA HIDRATADA 50 MG (POR COMPRIMIDO)"
0604830025,I,I,216,1571,"SACUBITRIL VALSARTANA SÓDICA HIDRATADA 100 MG (POR COMPRIMIDO)"
0604830033,I,I,216,1571,"SACUBITRIL VALSARTANA SÓDICA HIDRATADA 200 MG (POR COMPRIMIDO)"
0604840012,I,I,72,1571,"OMALIZUMABE 150MG SOLUÇÃO INJETÁVEL"
0604840020,I,I,216,1571,"MEPOLIZUMABE 100 MG/ML SOLUÇÃO INJETÁVEL"
0604850018,I,I,216,1571,"BROMETO DE UMECLIDÍNIO 62,5 MCG + TRIFENATATO DE VILANTEROL 25 MCG (PÓ INALANTE)"
